WINNING CREATURE
portlandtrailblazers 1772.29 303.155
miamiheat 1746.41 252.633
bostonceltics 1731.53 265.285
dallasmavericks 1675.77 104
charlottehornets 1640.22 353.189
utahjazz 1570.09 225.896
memphisgrizzlies 1501.01 214.388
detroitpistons 1490.65 289.486
washingtonwizards 1463.43 235.417
orlandomagic 1458.92 265.531
houstonrockets 1376.22 273.188
chicagobulls 1361.61 240.272
16776.8
WINNING CREATURE
goldenstatewarriors 2591.62 180.042
sanantoniospurs 2168.82 288.095
clevelandcavaliers 2156.38 239.465
torontoraptors 2079.72 290.463
oklahomacitythunder 2072.29 279.404
losangelesclippers 1994.15 202.61
atlantahawks 1962.59 181.344
bostonceltics 1761.05 198.586
miamiheat 1749.34 301.122
indianapacers 1744.16 317.534
portlandtrailblazers 1743.14 308.964
charlottehornets 1692.89 195.584
dallasmavericks 1579.01 163.589
utahjazz 1547.88 232.925
memphisgrizzlies 1472.91 269.036
detroitpistons 1472.67 314.687
washingtonwizards 1468.96 202.073
orlandomagic 1425.88 275.92
houstonrockets 1402.31 244.764
chicagobulls 1334.56 260.039
16767.9
WINNING CREATURE
goldenstatewarriors 2373.16 249.533
torontoraptors 2188.46 271.175
clevelandcavaliers 2135.97 273.103
sanantoniospurs 2112.98 285.203
oklahomacitythunder 2044.75 201.289
atlantahawks 1952.38 219.876
losangelesclippers 1924.26 177.041
indianapacers 1800.74 272.37
bostonceltics 1778.83 189.248
miamiheat 1727.39 337.149
portlandtrailblazers 1715.91 318.914
charlottehornets 1639.01 253.123
dallasmavericks 1595.47 156.842
memphisgrizzlies 1514.71 241.798
utahjazz 1487.8 268.015
washingtonwizards 1458.11 251.798
orlandomagic 1450.2 275.353
detroitpistons 1448.3 267.387
houstonrockets 1393.34 210.318
chicagobulls 1349.81 284.747
16786.5
WINNING CREATURE
goldenstatewarriors 2521.26 181.491
sanantoniospurs 2176.85 255.054
oklahomacitythunder 2134.78 246.597
clevelandcavaliers 2099.78 306.467
torontoraptors 2033.51 278.508
losangelesclippers 1972.18 174.754
atlantahawks 1860.09 214.976
portlandtrailblazers 1747.75 299.506
indianapacers 1737.53 316.361
miamiheat 1737.28 284.004
bostonceltics 1697.2 261.316
charlottehornets 1641.7 244.897
dallasmavericks 1592.28 114.502
utahjazz 1550.39 257.114
memphisgrizzlies 1512.45 206.04
washingtonwizards 1451.68 226.529
houstonrockets 1430.41 226.808
orlandomagic 1401.29 299.382
detroitpistons 1400.62 250.048
chicagobulls 1318.6 253.325
16779.5
WINNING CREATURE
goldenstatewarriors 2529.93 172.413
sanantoniospurs 2265.93 360.88
oklahomacitythunder 2137.07 267.065
clevelandcavaliers 2112.8 228.762
torontoraptors 2080.44 265.578
losangelesclippers 2010.81 235.577
atlantahawks 1881.76 211.892
miamiheat 1780.33 260.031
portlandtrailblazers 1759.83 331.19
indianapacers 1736.74 352.922
bostonceltics 1729.53 249.858
charlottehornets 1635.64 319.56
utahjazz 1613.86 242.076
dallasmavericks 1570.59 186.926
memphisgrizzlies 1472.17 299.309
washingtonwizards 1444.69 238.193
orlandomagic 1402.61 294.185
houstonrockets 1392.12 250.081
detroitpistons 1353.86 310.273
chicagobulls 1316.01 285.671
16761.1
WINNING CREATURE
goldenstatewarriors 2570.6 261.207
sanantoniospurs 2213.35 296.693
clevelandcavaliers 2164.34 258.594
oklahomacitythunder 2125.53 262.27
torontoraptors 2050.54 257.261
losangelesclippers 1989.43 266.296
atlantahawks 1881.9 220.214
miamiheat 1781.44 248.458
portlandtrailblazers 1762.18 255.06
indianapacers 1747.03 277.711
bostonceltics 1728.87 216.882
charlottehornets 1652.74 249.659
dallasmavericks 1578.85 134.359
utahjazz 1559.39 236.434
memphisgrizzlies 1509.24 222.28
washingtonwizards 1463.04 213.707
detroitpistons 1433.25 240.052
orlandomagic 1412.41 293.503
houstonrockets 1406.19 168.3
chicagobulls 1381.79 291.243
16777
WINNING CREATURE
goldenstatewarriors 2604.64 233.33
sanantoniospurs 2252.82 268.072
oklahomacitythunder 2147.24 275.203
clevelandcavaliers 2112.78 254.138
torontoraptors 2104.96 258.791
losangelesclippers 2011.23 178.784
atlantahawks 1871.85 258.72
bostonceltics 1780 220.52
miamiheat 1734.82 291.406
indianapacers 1716.94 291.435
portlandtrailblazers 1716.43 334.38
dallasmavericks 1603.75 143.249
charlottehornets 1582.01 297.03
utahjazz 1556.82 246.793
memphisgrizzlies 1458.34 245.694
washingtonwizards 1408.57 259.295
detroitpistons 1392.43 250.141
houstonrockets 1385.22 236.478
orlandomagic 1375.12 326.59
chicagobulls 1322.82 226.919
16768.3
WINNING CREATURE
goldenstatewarriors 2521.13 296.421
sanantoniospurs 2269.27 222.112
clevelandcavaliers 2219.28 206.324
oklahomacitythunder 2148.13 235.031
torontoraptors 2105.8 378.105
losangelesclippers 1910.02 199.996
atlantahawks 1892.79 223.376
bostonceltics 1778.76 233.008
miamiheat 1772.9 272.189
indianapacers 1734.83 282.708
portlandtrailblazers 1721.49 328.277
charlottehornets 1675.28 246.365
utahjazz 1548.36 307.151
dallasmavericks 1547.39 228.245
memphisgrizzlies 1504.56 259.091
washingtonwizards 1494 204.992
detroitpistons 1453.01 274.497
orlandomagic 1439.11 267.844
houstonrockets 1402.72 294.495
chicagobulls 1288.77 284.341
16767.3
WINNING CREATURE
goldenstatewarriors 2546.06 230.504
clevelandcavaliers 2254.42 237.839
sanantoniospurs 2195.5 288.04
torontoraptors 2142.24 243.203
oklahomacitythunder 2119.02 248.508
losangelesclippers 1987.72 207.703
atlantahawks 1927.29 177.781
indianapacers 1796.13 264.553
bostonceltics 1763.41 227.612
portlandtrailblazers 1692.74 246.411
miamiheat 1687.25 291.134
charlottehornets 1633.59 286.318
dallasmavericks 1560.41 158.828
utahjazz 1509.29 240.882
memphisgrizzlies 1475.56 233.278
washingtonwizards 1441.77 219.933
detroitpistons 1403.58 307.186
orlandomagic 1400.78 263.481
chicagobulls 1352.05 198.057
houstonrockets 1318.16 227.079
16778.3
WINNING CREATURE
goldenstatewarriors 2577.28 203.48
sanantoniospurs 2133.47 273.179
clevelandcavaliers 2111.5 252.991
oklahomacitythunder 2094.52 236.189
torontoraptors 2067.87 248.794
losangelesclippers 1990.79 198.07
atlantahawks 1946.93 184.021
indianapacers 1754.25 326.045
miamiheat 1729.19 301.051
charlottehornets 1714.49 265.768
portlandtrailblazers 1708.87 298.172
bostonceltics 1664.01 242.994
dallasmavericks 1569.89 154.86
utahjazz 1532.82 255.4
detroitpistons 1516.77 259.456
memphisgrizzlies 1476.86 248.099
washingtonwizards 1472.63 217.558
houstonrockets 1452.42 256.254
orlandomagic 1445.1 263.95
chicagobulls 1321.48 262.343
16776.8
WINNING CREATURE
goldenstatewarriors 2571.55 258.918
sanantoniospurs 2146.11 295.015
torontoraptors 2141.3 223.715
oklahomacitythunder 2059.63 211.291
